alg_name,trial_num,runtime_mircosecs,result,gamma,max_iters,ds_path
EigenTriangle,2,7984347,366267,,20,data/twitch/FR/musae_FR_edges.csv
EigenTriangle,3,8509005,365825,,20,data/twitch/FR/musae_FR_edges.csv
EigenTriangle,4,7333022,366281,,20,data/twitch/FR/musae_FR_edges.csv
EigenTriangle,5,8311513,365886,,20,data/twitch/FR/musae_FR_edges.csv
EigenTriangle,6,5673892,366032,,20,data/twitch/FR/musae_FR_edges.csv
EigenTriangle,7,6682682,366194,,20,data/twitch/FR/musae_FR_edges.csv
EigenTriangle,8,6209310,366178,,20,data/twitch/FR/musae_FR_edges.csv
EigenTriangle,9,6239305,366224,,20,data/twitch/FR/musae_FR_edges.csv
Spectral Count,0,10465891,422694,,,data/twitch/FR/musae_FR_edges.csv
Spectral Count,1,14073993,422694,,,data/twitch/FR/musae_FR_edges.csv
Spectral Count,2,13686270,422694,,,data/twitch/FR/musae_FR_edges.csv
Spectral Count,3,9447022,422694,,,data/twitch/FR/musae_FR_edges.csv
Spectral Count,4,13056755,422694,,,data/twitch/FR/musae_FR_edges.csv
Spectral Count,5,8632777,422694,,,data/twitch/FR/musae_FR_edges.csv
Spectral Count,6,10407015,422694,,,data/twitch/FR/musae_FR_edges.csv
Spectral Count,7,8663141,422694,,,data/twitch/FR/musae_FR_edges.csv
Spectral Count,8,7743631,422694,,,data/twitch/FR/musae_FR_edges.csv
Spectral Count,9,6664717,422694,,,data/twitch/FR/musae_FR_edges.csv
TraceTriangleR,0,76684,174873,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleR,1,108978,178457,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleR,2,39484,142790,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleR,3,22780,184042,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleR,4,19823,204328,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleR,5,27990,168657,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
